序号	名 称	地 址	建造年代	面积（㎡）	权属性质	管理单位	保护状况	开放情况
1	拙政园	东北街178号	始建于明	45790	国有	苏州市园林和绿化管理局	好	开放
2	留园	留园路338号	始建于明	20390	国有	苏州市园林和绿化管理局	好	开放
3	网师园	阔家头巷11号	清	5970	国有	苏州市园林和绿化管理局	好	开放
4	环秀山庄	景德路272号	清	1950	国有	苏州市园林和绿化管理局	好	开放
5	沧浪亭	沧浪亭街3号	始建于宋	14460	国有	苏州市园林和绿化管理局	好	开放
6	狮子林	园林路23号	始建于元	11120	国有	苏州市园林和绿化管理局	好	开放
7	艺圃	文衙弄5-7号	始建于明	5450	国有	苏州市园林和绿化管理局	好	开放
8	耦园	小新桥巷5-9号	清	7740	国有	苏州市园林和绿化管理局	好	开放
9	曲园	人民路马医科43号	清	3020	国有	苏州市文学艺术界联合会	好	开放
10	天香小筑	人民路878号	民国	3010	国有	苏州市文广新局	好	开放
11	织造署旧址	带城桥下塘18号	清	970	国有	苏州市教育局	好	不开放
12	北寺塔	人民路652号	宋	23590	宗教产	苏州市北塔报恩寺	好	开放
13	寒山寺	寒山寺弄24号	清代重建	10030	宗教产	苏州市寒山寺	好	开放
14	五峰园	五峰园弄15号	始建于明	1290	国有	苏州市园林和绿化管理局	好	开放
15	西园	留园路西园弄18号	始建于明	49670	宗教产	苏州市西园戒幢律寺	好	开放
16	惠荫园	南显子巷18号	始建于明	6280	国有	苏州市教育局	中	不开放
17	听枫园	庆元坊12号	清	1310	国有	苏州市文广新局	好	预约开放
18	怡园	人民路1265号	清	4440	国有	苏州市园林和绿化管理局	好	开放
19	畅园	庙堂巷22号	清	2820	国有	苏州风景园林集团	好	不开放
20	可园	人民路708号	清	6990	国有	苏州市园林和绿化管理局	好	开放
21	鹤园	韩家巷4号	清	3060	国有	苏州市政协	好	不开放
22	北半园	白塔东路60号	清	1160	国有	苏州创元集团	好	开放
23	柴园	醋库巷44号	清	3590	国有	苏州市教育局	中	开放
24	残粒园	装驾桥巷34号	清	2390	私有	私人	中	不开放
25	遂园	景德路303号	清	3310	国有	苏大儿童医院	中	开放
26	塔影园	山塘街845号	清	8280	国有	苏州市教育局	中	不开放
27	朴园	高长桥8号	民国	4740	国有	苏州市文广新局	中	开放
28	万氏花园	王洗马巷7号	清	2670	私有	私人	好	不开放
29	拥翠山庄	虎丘景区内	清	740	国有	苏州市园林和绿化管理局	好	开放
30	南半园	仓米巷24号	清	5250	国有	苏州创元集团	差	不开放
31	慕园	富仁坊巷72号	清	1230	国有	苏州电信公司	差	不开放
32	绣园	马医科27号	清	840	私有	私人	好	不开放
