序号		名 称	地 址	面积（㎡）	权属性质	管理主体	保护状况	开放情况
1		聚沙园	常熟市梅李镇梅东路1号	64000	国有	常熟市梅李聚沙文化旅游发展有限公司	好	开放
2		读书台	常熟市虞山东南麓石梅街	12000	国有	常熟市文化广电新闻出版局	好	开放
3		拂水山庄	常熟市虞山镇环湖南路尚湖风景区内	39600	国有	常熟市虞山尚湖旅游发展有限责任公司	好	开放
4		翁家花园	常熟市虞山镇书院街1号常熟市第一人民医院内	6920	国有	常熟市第一人民医院	中	开放
5		倚晴园	常熟市北门大街45号虞山公园内	920	国有	常熟市虞山风景区管理处	好	开放
6		顾炎武故居	昆山市千灯镇南大街52号	39600	国有	千灯镇旅游发展有限公司	好	开放
7		恬庄榜眼府	张家港市凤凰镇恬庄古街	1950	国有	张家港凤凰镇人民政府	好	开放
8		枫华园	张家港市暨阳路与公园路交界处沙洲公园内	6560	国有	张家港市人民政府	好	开放
9		先蚕祠花园	吴江区盛泽镇蚕花路126号	2400	国有	盛泽镇先蚕祠管理委员会	好	开放
10		珍珠塔园	吴江区同里镇石皮弄16号	9160	国有	吴江区同里珍珠塔景点旅游有限公司	好	开放
11		环翠山庄	吴江区同里镇大叶港畔	4200	企业	苏州吴都建设投资有限公司	好	不开放
12		静思园	吴江区云梨路919号	44000	企业	苏州静思园有限公司	好	开放
13		明轩实样	白塔东路1号东园内	460	国有	苏州市耦园管理处	好	开放
14		万景山庄	山塘街山门巷8号虎丘山风景名胜区东南麓	16000	国有	苏州市虎丘山风景名胜区管理处	好	开放
15		西溪环翠	山塘街山门巷8号虎丘山风景名胜区西南麓	33700	国有	苏州市虎丘山风景名胜区管理处	好	开放
16		一榭园	山塘街山门巷8号虎丘山风景名胜区北	28400	国有	苏州市虎丘山风景名胜区管理处	好	开放
17		一枝园	枫桥路枫桥风景名胜区江枫洲内	3000	国有	苏州市枫桥风景名胜区管理处	好	开放
18		师俭园	马大箓巷37号	2600	私有	私人	好	不开放
19		南石皮记	南石皮弄4号	500	私有	私人	好	不开放
20		玉涵堂	山塘街东杨安浜6号	5000	国有	苏州市山塘历史文化保护区发展有限责任公司	好	开放
21		铜观音寺花园	吴中区光福镇下街38号	20000	国有	苏州市光福集团香雪海旅游服务有限公司	好	开放
22		司徒庙后花园	吴中区光福镇香雪村福湖路	17600	国有	苏州市光福集团香雪海旅游服务有限公司	好	开放
23		榜眼府第	吴中区木渎镇下塘街32号	6800	国有	苏州市木渎旅游发展实业公司	好	开放
24		虹饮山房	吴中区木渎镇山塘街56号	10340	国有	苏州市木渎旅游发展实业公司	好	开放
25		瑞园	吴中区太湖度假区香山街道舟山村99号	19000	企业	苏州市瑞丰圆生态旅游发展有限公司	好	不开放
26		小筑春深	吴中区临湖镇临湖路999号太湖园博园内	18000	国有	苏州太湖旅游发展集团有限公司	好	开放
27		灵岩山寺花园	吴中区木渎镇灵岩山寺内	6000	国有	苏州市灵岩山寺	好	开放
28		乡畦小筑	吴中区木渎镇天灵路98号天邻风景花园内	1200	私有	私人	好	预约开放
29		道勤小筑	吴中区东山镇杨湾寺前村	2100	私有	私人	好	不开放
30		醉石山庄	吴中区东山镇槎湾和杨湾之间环山路	12000	私有	私人	好	开放
31		后乐园	相城区阳澄湖镇凤阳路5号	22000	企业	苏州金澄经济技术研究发展有限公司	好	不开放
