序号		名 称	地 址	面积（㎡）	权属性质	管理单位	开放情况	用途	保护状况
1		端本园	黎里镇黎里社区中心街68号大观弄底	390	国有	苏州市黎里文化旅游发展有限公司	开放	园林景点	好
2		南社通讯处旧址	黎里镇浒泾南路28号	1508	国有	苏州市黎里文化旅游发展有限公司	开放	园林景点	好
3		尚志堂吴宅	西北街88号工艺美术馆	4300	国有	苏州创元投资发展（集团）有限公司	开放	博物馆	好（工艺美术博物馆）							
4		全晋会馆	平江路中张家巷14号	3600	国有	苏州戏曲博物馆	开放	博物馆	好（中国昆曲博物馆）							
5		苏州博物馆花园	东北街204号	10700	国有	苏州市文化广电新闻出版局	开放	博物馆	好
6		忠王府	东北街204号	10650	国有	苏州市文化广电新闻出版局	开放	博物馆	好
7		墨客园	平江路大新桥巷10号	1980	私人	苏州市香墨文化发展有限公司	开放	酒店	好
8		揖秀园	吴趋坊79-1号	2330	私人	李金康	不开放	私宅	好
9		延林园	西北街50号（竹之苑）31幢	585	私人	吴义刚	不开放	私宅	好
10		芥舟园	吴中区金庭镇东蔡村秦家堡	200	私人	秦怀平	不开放	私宅	一般（秦奎元故居）							
11		石湖梅圃	吴中区吴越路47号上方山森林公园内	10000	国有	苏州市园林和绿化管理局	开放	园林景点	好
12		嘉树堂	吴中区东山镇金嘉巷18号	960	私人	王惠康	不开放	私宅	好
13		维摩精舍	吴中区金庭镇金庭路5号	320	私人	王惠康	开放	茶室	好
14		惠和堂	吴中区东山镇陆巷古村内	5000	国有	苏州市吴中区东山镇旅游开发有限公司	开放	园林景点	好
15		怀古堂	吴中区东山镇陆巷古村内	3000	国有	苏州市吴中区东山镇旅游开发有限公司	开放	园林景点	好
16		宝俭堂	吴中区东山镇陆巷古村内	6000	国有	苏州市吴中区东山镇旅游开发有限公司	开放	园林景点	好
17		东山雕花楼	吴中区东山镇紫金路58号	10000	国有	苏州市吴中国裕资产经营有限公司	开放	园林景点	好
18		雕花楼（任本堂）	吴中区金庭镇堂里村	17523	私人	苏州太湖西山雕花楼博物馆有限责任公司	开放	园林景点	好
